trdwk	mkt_rf	smb	hml	umd	rf	smb_equal	hml_equal	umd_equal	rmw	cma	rmw_equal	cma_equal
1995-04-07	0.0230928489	-0.001665233	0.0128120035	-0.026388786	0.002005	0.0035567991	0.0026527037	-0.009584358	0.0020455994	0.0333467777	-0.006894059	0.0169015495
1995-04-14	-0.039779877	-0.001793069	-0.009682547	0.0202341559	0.002005	-0.001226053	-0.003129083	0.0014387664	0.0005943021	-0.04455067	0.0035612494	-0.037701598
1995-04-21	-0.011976763	0.0124499865	0.0033181604	-0.005379717	0.002005	0.012939976	0.0023751226	0.0045002589	-0.010914459	0.0005480776	-0.007752823	-0.002668196
1995-04-28	-0.088880386	0.0064123896	0.0037355177	0.0034421799	0.002005	0.005070624	0.0051391827	0.009213851	-0.000232813	0.002337141	0.0004632731	0.0094977365
1995-05-05	-0.017706049	-0.005104302	-0.003148155	0.0060572055	0.002005	-0.004255393	-0.003718842	0.0008497904	-0.005425688	0.0113547507	-0.002411057	0.0118563264
1995-05-12	0.0102254435	0.013641945	-0.007610653	0.0294528005	0.002005	0.0119585541	-0.002449196	0.0270067202	-0.00943493	0.0109403369	-0.010121104	0.0049798715
1995-05-19	0.4210630567	0.0822977994	-0.068806482	0.1371647625	0.002005	0.077161845	-0.046770499	0.1335230317	-0.088018741	0.0470872296	-0.065065314	0.0489240918
1995-05-26	-0.153916144	0.0181852625	-0.029475392	0.0091082983	0.002005	0.0225864458	-0.030843263	0.0012987459	0.0029581428	0.0592532653	-0.006488804	0.0596116966
1995-06-02	-0.020488145	-0.006046253	-0.005212555	0.001503243	0.002005	-0.005809137	-0.008692261	-0.003307125	0.006561075	-0.021954125	0.0031209571	-0.017649265
1995-06-09	-0.019523928	-0.005206867	0.002671063	-0.009666291	0.002005	-0.007039796	-0.001412403	-0.009023314	0.0021617589	0.0007251529	0.0063619038	0.0003004592
1995-06-16	-0.072592755	-0.014461022	0.0217030204	-0.036533838	0.002005	-0.011697665	0.0170060826	-0.029971291	0.0149580153	-0.019602036	0.0087186146	-0.019748441
1995-06-23	0.0100927664	-0.00619471	0.0080910133	-0.012525912	0.002005	-0.009071536	0.0042911935	-0.013020095	0.0019566183	-0.001580064	-0.001671313	-0.000067934
1995-06-30	-0.024777064	-0.005828865	0.0012191108	-0.015269346	0.002005	-0.006450951	-0.00336276	-0.015327992	0.0028014836	0.000619426	0.0048131767	-0.000490232
1995-07-07	0.0377454244	0.0007768874	-0.023356538	0.0393494531	0.002005	-0.00096968	-0.020162696	0.0324747016	0.0352981083	-0.002650101	0.0337244065	-0.002557284
1995-07-14	-0.018360872	0.0011099656	0.0242394305	-0.01508955	0.002005	-0.00180076	0.0226097942	-0.010530177	-0.011914651	0.0023642775	-0.015513315	-0.000210918
1995-07-21	0.0335448199	-0.004126396	0.032125856	-0.040846578	0.002005	-0.002597972	0.0262851287	-0.043349711	-0.006540795	0.0104776216	-0.005878823	0.0093083499
1995-07-28	0.0035763982	0.0012189382	0.0168333344	-0.008855129	0.002005	0.0021115635	0.0166013101	-0.000967744	0.0350412038	0.0218577473	0.0338888897	0.0055206207
1995-08-04	0.0159808641	-0.012966399	-0.006305636	0.0047643492	0.002005	-0.009910424	-0.009884924	0.0017959392	0.034226103	-0.004028285	0.0275502755	-0.009872012
1995-08-11	0.060796592	0.0089324748	0.1234423945	-0.08626185	0.002005	0.0050151685	0.114140423	-0.081701908	-0.01646624	0.0163740514	-0.005573927	-0.00659412
1995-08-18	0.054778581	0.008809634	0.0840596769	-0.056656861	0.002005	0.0054052465	0.082728602	-0.057870093	-0.069595478	0.0182044258	-0.080115007	0.0355572627
1995-08-25	-0.075850503	-0.025199249	-0.079932073	0.0434682026	0.002005	-0.017448042	-0.061048183	0.0411021825	0.0454136345	-0.003709228	0.0415186868	-0.011628917
1995-09-01	0.001655067	-0.004922641	0.0425854548	0.00499184	0.002005	-0.009729642	0.037826828	-0.00724438	0.0236563979	0.00464246	0.0193848355	-0.010963822
1995-09-08	0.0178479469	-0.002929511	0.0071155075	0.0340210895	0.002005	-0.008983471	0.0069244581	0.0316587969	0.0413970869	-0.005128768	0.0353330669	-0.014468
1995-09-15	0.0102949225	-0.013720495	0.0319889888	-0.004261952	0.002005	-0.010701155	0.0289371268	-0.02063718	-0.022033651	0.021537225	-0.032736865	0.0185493635
1995-09-22	-0.033247693	-0.001598694	0.0065173825	-0.001733629	0.002005	0.001554387	0.0097279176	-0.006609765	-0.002325106	0.0151446575	-0.006095478	0.0060824023
1995-09-29	-0.008289479	0.0028519771	0.0288848305	0.0137945232	0.002005	0.0016116849	0.0271458926	0.0026314046	0.0085424436	0.0195221131	-0.004610166	0.0079974601
1995-10-06	-0.008205731	-0.000035666	0.0035567627	0.0009654859	0.002005	-0.002806373	-0.002138382	-0.00154508	0.0084290754	0.0081156712	0.0053213716	0.0036275396
1995-10-13	-0.022889205	-0.000076513	0.0189242799	0.0104728213	0.002005	0.001044841	0.0198882855	0.0021458581	0.0089889593	0.0220208293	-0.000943148	0.0093693549
1995-10-20	0.0569177289	0.0026589636	0.001596942	-0.036616718	0.002005	0.0020748359	0.0031128008	-0.030870787	-0.02799773	-0.001512666	-0.024850704	0.0038944986
1995-10-27	-0.008914047	0.0086912116	0.0279076143	0.0470570596	0.002005	0.0073154814	0.022328242	0.0379087149	0.019538367	0.0185994167	0.0160219113	0.0073773481
1995-11-03	0.0082196532	-0.009892563	-0.011502304	0.0214215441	0.002005	-0.007945808	-0.012612739	0.0188824576	0.0223085321	-0.015927049	0.0210475457	-0.015619228
1995-11-10	-0.022092844	0.0071555553	-0.0088817	-0.019127333	0.002005	0.008349694	-0.004778041	-0.020729095	-0.009815857	0.0060462251	-0.007189369	0.0122134172
1995-11-17	-0.032680818	0.004608036	-0.012909974	-0.030998801	0.002005	0.0051496492	-0.006221747	-0.026278019	-0.029249052	-0.01045616	-0.021927781	0.0015171137
1995-11-24	-0.020920722	0.0004809405	-0.017136545	-0.027823441	0.002005	0.0024547079	-0.013457029	-0.025628193	-0.021148652	-0.006698024	-0.015558746	0.0031238923
1995-12-01	-0.038229392	0.0002667108	-0.029695325	-0.021927691	0.002005	0.0024376464	-0.026727598	-0.016012268	-0.002613148	-0.014427363	0.0041417177	-0.010486254
1995-12-08	0.0049095145	0.0067808977	0.0141339533	0.0128187405	0.002005	0.0042832474	0.0129903632	0.0124144824	0.0043844812	0.003239495	0.001158685	-0.000034516
1995-12-15	-0.040165084	0.0022519773	-0.011969283	-0.012990776	0.002005	0.0032108353	-0.011556518	-0.012993861	-0.008704441	-0.002433946	-0.009211716	0.0068478292
1995-12-22	-0.019193357	-0.005958125	0.0025614398	0.0051422805	0.002005	-0.005732572	0.0034608287	0.0106183168	0.0093730121	-0.008241352	0.0076930706	-0.013545443
1995-12-29	-0.059488804	-0.011556669	0.0102309622	-0.016582189	0.002005	-0.008628047	0.0146372461	-0.012845999	-0.02806921	0.001352406	-0.028708233	0.0088551222
1996-01-05	-0.039977078	-0.003625239	0.0118904466	-0.001321804	0.002005	-0.002438205	0.0082030624	-0.002515297	0.0019960859	0.0005884686	0.0007734449	-0.000540032
1996-01-12	0.0131213283	0.005200043	0.0364780101	0.0324844657	0.002005	0.0039398219	0.0343488829	0.0306437516	0.0161707978	0.0130639507	0.0046419782	-0.005964614
1996-01-19	-0.043504695	-0.003410119	0.0067056773	0.0031609311	0.002005	-0.001336713	0.004198781	-0.00102788	-0.003518957	0.0083555087	-0.003906101	0.0072971119
1996-01-26	0.0086450937	0.0032418463	0.020753389	0.0132879235	0.002005	-0.000368718	0.0203259924	0.012903706	-0.001211196	0.0038067864	-0.003311337	-0.001995014
1996-02-02	0.0110765843	0.0022425023	0.0006886131	0.014901118	0.002005	0.001189175	-0.002447034	0.0079252522	0.023144978	0.0081741265	0.0182119224	0.0080185076
1996-02-09	-0.020030086	-0.00802412	-0.003250112	-0.007377473	0.002005	-0.004688608	-0.004440124	-0.013280991	-0.000862522	0.00409801	-0.001785907	0.0044658959
1996-02-16	0.0526702918	-0.002751243	-0.015026174	-0.005883325	0.002005	-0.004115756	-0.01872906	0.0011435458	0.0084858512	-0.012170482	0.0164558317	-0.013416807
1996-03-08	0.0212566877	0.0013818321	-0.008569149	0.0182155988	0.002005	0.0004200442	-0.011857584	0.0164662903	0.0271207557	-0.003161234	0.0278369986	-0.005635741
1996-03-15	-0.014977514	0.0022403639	0.006957516	0.0085530015	0.002005	0.0014694829	0.0052626467	0.0064157744	0.0002922422	0.0018996756	-0.004280014	-0.001793732
1996-03-22	0.0131324637	0.0004441118	0.0078533964	0.0061123786	0.002005	0.0006972681	0.0065600477	0.0010009412	0.0034082079	0.0084636689	-0.004703527	0.007514355
1996-03-29	-0.024803643	-0.00100449	-0.003605825	-0.002921946	0.002005	-0.000725231	-0.003929362	-0.005190187	-0.004597073	0.0032510608	-0.005596096	0.0012346635
1996-04-05	0.0395183354	-0.000602612	-0.037127048	-0.027049425	0.002005	-0.00114541	-0.037059051	-0.020127978	0.0132111394	-0.028318631	0.0251884767	-0.01822698
1996-04-12	0.0170797877	0.0047793569	0.0079222366	-0.023439743	0.002005	0.0031545229	0.0135501164	-0.022370635	-0.031747182	0.0035278845	-0.033303824	0.0085293596
1996-04-19	0.0589568827	0.0049893982	0.0022218345	-0.001853493	0.002005	0.003979713	0.0072820194	-0.001446917	-0.007769104	0.0133200199	-0.006149749	0.0165618076
1996-04-26	0.1774947674	0.0045921551	0.0477418012	0.0013757701	0.002005	0.0065372025	0.0307554657	-0.002107019	-0.04416688	-0.008915909	-0.045854142	0.0061805168
1996-05-03	-0.04213261	-0.01545607	0.0474195032	0.0480910486	0.00169	-0.026816769	0.0495442036	0.0538512981	-0.05413062	-0.000365818	-0.041320216	-0.001687596
1996-05-10	0.0031175279	-0.02362811	0.0105727522	0.0203250351	0.00169	-0.015536427	0.0100459649	0.0108836673	0.0407021941	0.0313953372	0.021774035	0.0029695607
1996-05-17	0.099614511	-0.028870864	0.0368838457	0.0172463692	0.00169	-0.024901227	0.0383142609	0.0207871389	-0.038368346	0.0151674954	-0.05343227	0.0135307114
1996-05-24	-0.104337294	-0.011206338	-0.009331559	0.0010081258	0.00169	-0.009794882	-0.010955405	-0.0098232	0.0056072735	0.0054313843	0.0061271975	-0.001445693
1996-05-31	0.0084015271	0.0022512796	0.0168943606	0.0235156136	0.00169	-0.001040966	0.0104135352	0.0192982123	-0.005078107	0.0075184008	-0.008367008	0.0018743988
1996-06-07	0.1068194454	-0.060665158	0.0065243925	0.0318191585	0.00169	-0.040024727	0.0068595461	0.0346078119	0.0726851898	0.0186997041	0.0262732576	0.0147766591
1996-06-14	0.0578456526	-0.039262579	0.0441677067	0.0438680206	0.00169	-0.03007917	0.0443511367	0.0426395842	0.0437716815	0.0527981344	-0.010631521	0.0064022284
1996-06-21	0.0352645061	-0.001411345	-0.00427904	-0.007372494	0.00169	-0.004531408	-0.001102497	0.0180618848	-0.039883122	0.0012613576	-0.051723605	0.0183660662
1996-06-28	-0.003334524	-0.013504083	0.0191533249	0.0278704076	0.00169	-0.006021055	0.011863152	0.0070859703	0.0430633784	0.0297136987	0.0158455305	0.0148425325
1996-07-05	0.0109320496	-0.031861741	0.0292402596	0.0971095375	0.00169	-0.023968209	0.0340564349	0.0845272139	0.0704310982	-0.042566726	0.0512886763	-0.013518993
1996-07-12	0.0656785491	-0.019435809	0.1041392445	0.092269815	0.00169	-0.020974713	0.117547668	0.1011394866	0.0277405247	-0.015781614	0.0278093169	-0.012267667
1996-07-19	0.1085863732	0.089873038	0.0416068719	-0.096722406	0.00169	0.0607300917	0.0541258602	-0.076148904	-0.116084743	0.0616514587	-0.097710767	0.063017356
1996-07-26	-0.008800602	-0.014501032	0.0122366113	0.0376307959	0.00169	-0.015612457	0.0116380567	0.0336161257	0.0091358731	0.0015039586	0.0053716084	-0.002325362
