trdmn,mkt_rf,smb,hml,umd,rf,smb_equal,hml_equal,umd_equal,rmw,cma,rmw_equal,cma_equal
201112,-0.095586616,-0.067450137,0.0537925681,0.0725200371,0.002871,-0.02403239,0.0280363788,-0.01360412,0.1079139446,-0.057521181,0.0641683107,-0.049811638
201201,0.0254664312,-0.042083365,0.0339874615,-0.035901609,0.002871,-0.027623495,0.022993743,-0.044609666,0.0195130175,0.0083840148,0.0054508228,0.0177307291
201202,0.0790071647,0.0440903348,-0.03609041,-0.073905948,0.002871,0.0179007499,-0.016431364,-0.044048442,-0.048120422,0.0027218018,-0.017060926,-0.005760164
201203,-0.076929278,0.0069087902,-0.003884377,0.0432009711,0.002871,0.008879211,-0.000935918,0.0341234309,0.0137568896,0.0052440709,0.0043868859,0.005654285
201204,0.058555507,-0.003145186,0.0171933831,-0.049216312,0.002871,-0.017614994,0.0392791829,-0.051834253,-0.014095746,-0.016287517,0.0078945501,0.0065351444
201205,0.002491337,0.0152035847,-0.033243722,-0.007312679,0.002871,0.0111694649,-0.018042789,0.0152014173,-0.011099232,-0.018329719,0.0054335054,-0.012035389
201206,-0.065063871,0.0075273434,-0.021777662,0.0559410675,0.002669,0.0194810567,-0.024937598,0.0384894908,0.0250998206,-0.019629217,-0.001345024,0.0114252296
201207,-0.062563104,-0.039405798,0.0056984511,0.0580392378,0.002466,-0.019190644,0.0045128461,0.0348367321,0.0410609204,-0.03083873,0.0246688654,-0.014634555
201208,-0.02819893,0.0723937187,-0.008451345,-0.034586643,0.002466,0.0467824204,-0.023875049,-0.031547618,-0.052553198,0.0432239927,-0.056707996,0.0245009308
201209,0.02745369,-0.03183115,-0.013356546,-0.008769383,0.002466,-0.013263047,-0.004983887,-0.019115666,0.0353085494,-0.037860041,0.0217888175,-0.0082748
201210,-0.010726071,0.0199518818,0.0100549905,0.0056020863,0.002466,0.0084474763,0.0097908423,-0.008278048,-0.009885841,0.0057556562,-0.012635051,0.0159517229
201211,-0.076474239,-0.030049617,0.04770246,0.0516476595,0.002466,-0.008894227,0.0288974591,0.0049869853,0.0400757646,-0.005220107,0.0112154897,0.0050028404
201212,0.1374412069,0.0191233143,-0.002959594,-0.042333207,0.002466,0.0023138527,-0.006904635,-0.013228049,-0.012587162,-0.007213703,0.0226619705,-0.017836036
201301,0.036694046,0.0358798724,-0.010988384,-0.036802086,0.002466,0.0098377832,-0.017564676,-0.009165455,-0.049355479,0.0260369442,-0.030009301,0.0007190233
201302,0.0076391298,0.031887628,-0.020214941,0.0260098774,0.002466,0.0173303118,-0.014488437,0.0127063823,-0.021147878,-0.000071986,-0.013600716,-0.006317516
201303,-0.044633975,0.0253345559,-0.024249156,0.0522420592,0.002466,0.0182672986,-0.024312578,0.0405592322,-0.014295013,0.0142085342,-0.024714371,0.015127335
201304,-0.033265762,-0.000121157,-0.005234792,0.009225132,0.002466,0.0005024454,-0.005117909,0.0212669435,-0.005857377,-0.014085392,0.0021095988,-0.00278433
201305,0.0846590062,0.0709489485,-0.033685182,0.0238184972,0.002466,0.035134209,-0.033661587,0.0208031998,-0.061911628,0.0063372786,-0.034720576,-0.000732221
201306,-0.146490139,-0.001621207,-0.018742588,0.0626579381,0.002466,0.0144065262,-0.011099286,0.0477571161,0.0273735557,-0.016593002,-0.006225656,0.0036916032
201307,0.0400957104,0.0383579256,0.0005786043,0.0557487627,0.002466,0.0350166407,-0.013532745,0.0405913245,-0.02188679,0.0223478235,-0.035278699,0.0187610137
201308,0.0555192406,0.0331242935,0.015841168,-0.061634914,0.002466,-0.000514505,0.0374218017,-0.064853355,-0.056963271,0.0323636191,-0.022170688,0.0180327047
201309,0.042476073,0.009806694,0.0023466147,0.07830659,0.002466,0.0094819058,-0.000510683,0.0364461244,-0.026100365,0.019027274,-0.013861449,0.0038901229
201310,-0.027871841,0.0093418001,0.0317458425,-0.065106225,0.002466,0.0117426223,0.0252202289,-0.04176072,0.0059995817,0.0093558003,-0.005739269,0.0106527131
201311,0.0500590353,0.0527454771,-0.011581122,0.0370370703,0.002466,0.0556060622,-0.000850103,0.0396576635,-0.035079963,0.0117308995,-0.043886357,0.0090440958
201312,-0.042644229,0.0077408064,0.0125746111,0.0088281038,0.002466,0.0067887623,0.0181986233,0.0001584503,0.0132979562,-0.013139814,0.0124831874,-0.003777754
201401,-0.018291221,0.0711320348,-0.019566683,0.0987933537,0.002466,0.0580010888,-0.019912484,0.1353793465,-0.04112498,0.0053199505,-0.046211444,-0.001153574
201402,0.0147198778,0.0298102126,0.0142392608,-0.031942978,0.002466,0.0219321702,0.0118709105,-0.01279469,-0.024809736,0.0327290046,-0.034693944,0.0257528866
201403,-0.027787932,-0.006173739,0.0289385885,-0.084219392,0.002466,-0.007897848,0.0280085953,-0.082311865,0.0035476831,0.019621573,-0.000389554,0.015841034
201404,-0.014816316,0.0064472598,0.0042045948,-0.018597221,0.002466,0.0193032805,0.0042251993,0.001384205,0.0120917615,-0.006686691,-0.00117272,0.0014263044
201405,0.0126427076,0.0231646353,-0.001558896,0.0142038514,0.002466,0.0238932153,-0.009216287,0.02086572,-0.028934211,0.0107693249,-0.029030444,0.0074244461
201406,0.0258283292,0.0340450075,-0.004189283,0.0222574435,0.002466,0.039510684,-0.008424073,0.0281619662,-0.022975431,0.0187232157,-0.034678394,0.0205605064
201407,0.074750871,0.0025966202,0.051589002,-0.064336808,0.002466,-0.005048176,0.0564009563,-0.065253527,-0.010238332,0.0238591687,0.0034926357,0.0133920533
201408,0.0278702108,0.0454644326,-0.021344946,0.0267408343,0.002466,0.0357708934,-0.021202689,0.0156184091,-0.045677949,0.0108023906,-0.038486088,0.0114772356
201409,0.0896755201,0.0868646049,-0.000594412,0.0287239874,0.002466,0.0639048583,0.0152667421,0.01016594,-0.092979783,0.0462104414,-0.04506495,0.0380430345
201410,0.0126046839,0.0001075853,0.0158192756,-0.008341009,0.002466,-0.003164451,0.0191387418,-0.017888145,-0.003180103,0.0134751671,0.0094414901,0.0059731757
201411,0.0564115735,0.0033732288,0.0434035474,-0.025132358,0.002263,0.0085032118,0.0416456193,-0.013702734,-0.000157406,0.0107592508,-0.000885397,0.0147443671
201412,0.0933387322,-0.159639655,0.1572752048,-0.076981516,0.002263,-0.092598029,0.1171456128,-0.077093547,0.1540148821,0.0061243478,0.0893001461,-0.007924837
201501,0.0394398791,0.0236268435,-0.070215279,-0.103226724,0.002263,0.0175991867,-0.067218044,-0.056699652,-0.019180748,-0.038032287,-0.013243409,-0.021735982
201502,0.0503315875,0.0271334644,-0.040387514,-0.026825412,0.002263,0.0149387592,-0.035156778,-0.014423958,-0.026711142,-0.016955149,-0.014330771,-0.007429411
201503,0.1714308463,0.0818480643,-0.027205835,0.0166974346,0.00206,0.0420498813,-0.017004255,-0.004105819,-0.073874015,0.0028415455,-0.038731179,-0.00439069
201504,0.1993011745,0.0059235095,0.0637807663,0.09834308,0.00206,0.0250289336,0.0344375019,-0.011338982,-0.042292001,0.0931034871,-0.033038311,0.0370540604
201505,0.1133886196,0.1679272663,-0.179506241,-0.04667354,0.001856,0.1205934504,-0.13366247,-0.061153245,-0.153583437,0.0099315387,-0.116214083,0.035992928
201506,-0.090464585,-0.030230144,0.1054073862,-0.122696502,0.001652,-0.019502092,0.0872344531,-0.148989524,0.032423188,0.0151280145,0.0296542553,0.0106118751
201507,-0.161064496,-0.056042677,-0.013125125,-0.057524615,0.001652,-0.028843749,-0.0240352,-0.034553508,0.0720465577,-0.009221511,0.0539156542,-0.0322294
201508,-0.142842101,0.0073748542,0.0220634365,-0.046296489,0.001447,0.0196148713,0.0250731066,-0.078700184,-0.023080487,0.0332526907,-0.011991305,0.0469721534
201509,-0.064157251,0.0337825239,-0.048677982,-0.059790481,0.001447,0.0287892439,-0.055861221,-0.065281597,0.0330674351,-0.038955941,0.0008343097,-0.03255761
201510,0.1611755887,0.0835218798,-0.058836331,-0.038498047,0.001241,0.0480040432,-0.053111765,-0.052941657,-0.094335197,-0.031302185,-0.064398108,0.0033423768
201511,0.0276679565,0.1142992836,-0.028113771,-0.020045289,0.001241,0.0873424227,-0.030968244,-0.033338444,-0.042211337,-0.03119008,-0.05344667,-0.003186035
201512,0.0411503199,0.0639505059,-0.005047736,-0.052198468,0.001241,0.0663110982,-0.002023564,-0.056994137,-0.00088996,-0.008662156,-0.031193276,0.0249714989
201601,-0.265316866,-0.045672187,0.0352263163,-0.098911632,0.001241,-0.013226229,0.0222531432,-0.059253638,0.0802237005,0.0271884958,0.0267369703,-0.00540943
201602,-0.020939765,0.0026754454,0.020156543,-0.024382347,0.001241,0.003000625,0.0253455646,-0.024743863,-0.00285246,0.0129469687,-0.007874429,0.0185161915
